pair,date,spot,rate_diff,stress,ca_diff,tb_diff,prod_diff,fair_value,z_score,lambda,fit,model_status
audnzd,2026-06-15,1.21358,0.398,1.0,4.435,-2.3621,-1.3959,,,,,insufficient_history
audusd,2026-06-15,0.70726,0.338,1.0,-1.2853,0.9448,-0.8032,,,,,insufficient_history
cadchf,2026-06-15,0.56731,3.057,1.0,-4.0102,-1.1093,-3.1337,,,,,insufficient_history
cadjpy,2026-06-15,114.575,0.832,1.0,-3.1803,0.1489,14.6224,,,,,insufficient_history
chfjpy,2026-06-15,201.89,-2.225,1.0,0.8299,1.2582,17.7561,,,,,insufficient_history
euraud,2026-06-15,1.63767,-1.8566,1.0,4.305,-0.2681,0.839,,,,,insufficient_history
eurcad,2026-06-15,1.62128,-0.4616,1.0,1.493,-0.3526,0.7402,,,,,insufficient_history
eurchf,2026-06-15,0.92008,2.5954,1.0,-2.5172,-1.4619,-2.3935,,,,,insufficient_history
eurgbp,2026-06-15,0.86388,-1.8749,1.0,2.9831,3.3122,-0.6598,,,,,insufficient_history
eurjpy,2026-06-15,185.814,0.3704,1.0,-1.6873,-0.2037,15.3626,,,,,insufficient_history
eurnok,2026-06-15,11.049,-1.3336,1.0,-18.8166,-4.5869,0.0732,,,,,insufficient_history
eurnzd,2026-06-15,1.98939,-1.4586,1.0,8.74,-2.6302,-0.5569,,,,,insufficient_history
eursek,2026-06-15,10.8939,0.1484,1.0,-4.8914,0.4039,0.2493,,,,,insufficient_history
eurusd,2026-06-15,1.15915,-1.5186,1.0,3.0197,0.6767,0.0358,,,,,insufficient_history
gbpaud,2026-06-15,1.89502,0.0183,1.0,1.3219,-3.5803,1.4988,,,,,insufficient_history
gbpcad,2026-06-15,1.87579,1.4133,1.0,-1.4901,-3.6648,1.4,,,,,insufficient_history
gbpchf,2026-06-15,1.06475,4.4703,1.0,-5.5003,-4.7741,-1.7337,,,,,insufficient_history
gbpjpy,2026-06-15,215.038,2.2453,1.0,-4.6704,-3.5159,16.0224,,,,,insufficient_history
gbpnzd,2026-06-15,2.30203,0.4163,1.0,5.7569,-5.9424,0.1029,,,,,insufficient_history
gbpusd,2026-06-15,1.34129,0.3563,1.0,0.0366,-2.6355,0.6956,,,,,insufficient_history
nzdcad,2026-06-15,0.81419,0.997,1.0,-7.247,2.2776,1.2971,,,,,insufficient_history
nzdchf,2026-06-15,0.46177,4.054,1.0,-11.2572,1.1683,-1.8366,,,,,insufficient_history
nzdjpy,2026-06-15,93.306,1.829,1.0,-10.4273,2.4265,15.9195,,,,,insufficient_history
nzdusd,2026-06-15,0.58238,-0.06,1.0,-5.7203,3.3069,0.5927,,,,,insufficient_history
usdcad,2026-06-15,1.39891,-1.057,1.0,1.5267,1.0293,-0.7044,,,,,insufficient_history
usdchf,2026-06-15,0.79376,-4.114,1.0,5.5369,2.1386,2.4293,,,,,insufficient_history
usdjpy,2026-06-15,160.332,-1.889,1.0,4.707,0.8804,-15.3268,,,,,insufficient_history
usdnok,2026-06-15,9.5309,-0.185,1.0,21.8363,5.2636,-0.0374,,,,,insufficient_history
usdsek,2026-06-15,9.3733,-1.667,1.0,7.9111,0.2728,-0.2135,,,,,insufficient_history
audcad,2026-06-16,0.98856,1.444,0.0,-2.812,-0.0845,-0.0988,,,,,insufficient_history
audchf,2026-06-16,0.56034,4.494,0.0,-6.8222,-1.1938,-3.2325,,,,,insufficient_history
audjpy,2026-06-16,113.308,2.187,0.0,-5.9923,0.4673,14.5236,,,,,insufficient_history
audnzd,2026-06-16,1.21107,0.385,0.0,-2.3087,-2.3621,-1.3959,,,,,insufficient_history
audusd,2026-06-16,0.70696,0.405,0.0,-1.2853,0.9448,-0.8032,,,,,insufficient_history
cadchf,2026-06-16,0.56651,3.05,0.0,-4.0102,-1.1093,-3.1337,,,,,insufficient_history
cadjpy,2026-06-16,114.582,0.743,0.0,-3.1803,0.5518,14.6224,,,,,insufficient_history
chfjpy,2026-06-16,202.204,-2.307,0.0,0.8299,1.6611,17.7561,,,,,insufficient_history
euraud,2026-06-16,1.64183,-1.895,0.0,4.305,-0.2681,0.839,,,,,insufficient_history
eurcad,2026-06-16,1.62415,-0.451,0.0,1.493,-0.3526,0.7402,,,,,insufficient_history
eurchf,2026-06-16,0.92053,2.599,0.0,-2.5172,-1.4619,-2.3935,,,,,insufficient_history
eurgbp,2026-06-16,0.86449,-1.8423,0.0,2.9831,3.3122,-0.6598,,,,,insufficient_history
eurjpy,2026-06-16,186.176,0.292,0.0,-1.6873,0.1992,15.3626,,,,,insufficient_history
eurnok,2026-06-16,11.0034,-1.355,0.0,-18.8166,-4.5869,0.0732,,,,,insufficient_history
eurnzd,2026-06-16,1.99016,-1.51,0.0,1.9963,-2.6302,-0.5569,,,,,insufficient_history
eursek,2026-06-16,10.8701,0.127,0.0,-4.8914,0.4039,0.2493,,,,,insufficient_history
eurusd,2026-06-16,1.16131,-1.49,0.0,3.0197,0.6767,0.0358,,,,,insufficient_history
gbpaud,2026-06-16,1.89895,-0.0527,0.0,1.3219,-3.5803,1.4988,,,,,insufficient_history
gbpcad,2026-06-16,1.87827,1.3913,0.0,-1.4901,-3.6648,1.4,,,,,insufficient_history
gbpchf,2026-06-16,1.06467,4.4413,0.0,-5.5003,-4.7741,-1.7337,,,,,insufficient_history
gbpjpy,2026-06-16,215.32,2.1343,0.0,-4.6704,-3.113,16.0224,,,,,insufficient_history
gbpnzd,2026-06-16,2.3012,0.3323,0.0,-0.9868,-5.9424,0.1029,,,,,insufficient_history
gbpusd,2026-06-16,1.34261,0.3523,0.0,0.0366,-2.6355,0.6956,,,,,insufficient_history
nzdcad,2026-06-16,0.81554,1.059,0.0,-0.5033,2.2776,1.2971,,,,,insufficient_history
nzdchf,2026-06-16,0.46187,4.109,0.0,-4.5135,1.1683,-1.8366,,,,,insufficient_history
nzdjpy,2026-06-16,93.482,1.802,0.0,-3.6836,2.8294,15.9195,,,,,insufficient_history
nzdusd,2026-06-16,0.58336,0.02,0.0,1.0234,3.3069,0.5927,,,,,insufficient_history
usdcad,2026-06-16,1.3992,-1.039,0.0,1.5267,1.0293,-0.7044,,,,,insufficient_history
usdchf,2026-06-16,0.79293,-4.089,0.0,5.5369,2.1386,2.4293,,,,,insufficient_history
usdjpy,2026-06-16,160.393,-1.782,0.0,4.707,0.4775,-15.3268,,,,,insufficient_history
usdnok,2026-06-16,9.4779,-0.135,0.0,21.8363,5.2636,-0.0374,,,,,insufficient_history
usdsek,2026-06-16,9.3522,-1.617,0.0,7.9111,0.2728,-0.2135,,,,,insufficient_history
audcad,2026-06-17,0.98828,1.349,1.0,-2.812,-0.0845,-0.0988,,,,,insufficient_history
audchf,2026-06-17,0.5608,4.452,1.0,-6.8222,-1.1938,-3.2325,,,,,insufficient_history
audjpy,2026-06-17,112.659,2.168,1.0,-5.9923,0.4673,14.5236,,,,,insufficient_history
audnzd,2026-06-17,1.21507,0.389,1.0,-2.3087,-2.3621,-1.3959,,,,,insufficient_history
audusd,2026-06-17,0.70161,0.279,1.0,-1.2853,0.9448,-0.8032,,,,,insufficient_history
cadchf,2026-06-17,0.56709,3.103,1.0,-4.0102,-1.1093,-3.1337,,,,,insufficient_history
cadjpy,2026-06-17,113.918,0.819,1.0,-3.1803,0.5518,14.6224,,,,,insufficient_history
chfjpy,2026-06-17,200.842,-2.284,1.0,0.8299,1.6611,17.7561,,,,,insufficient_history
euraud,2026-06-17,1.63962,-1.843,1.0,4.305,-0.2681,0.839,,,,,insufficient_history
eurcad,2026-06-17,1.62098,-0.494,1.0,1.493,-0.3526,0.7402,,,,,insufficient_history
eurchf,2026-06-17,0.91966,2.609,1.0,-2.5172,-1.4619,-2.3935,,,,,insufficient_history
eurgbp,2026-06-17,0.86502,-1.8229,1.0,2.9831,3.3122,-0.6598,,,,,insufficient_history
eurjpy,2026-06-17,184.75,0.325,1.0,-1.6873,0.1992,15.3626,,,,,insufficient_history
eurnok,2026-06-17,11.0569,-1.393,1.0,-18.8166,-4.5869,0.0732,,,,,insufficient_history
eurnzd,2026-06-17,1.99269,-1.454,1.0,1.9963,-2.6302,-0.5569,,,,,insufficient_history
eursek,2026-06-17,10.9335,0.151,1.0,-4.8914,0.4039,0.2493,,,,,insufficient_history
eurusd,2026-06-17,1.15048,-1.564,1.0,3.0197,0.6767,0.0358,,,,,insufficient_history
gbpaud,2026-06-17,1.89443,-0.0201,1.0,1.3219,-3.5803,1.4988,,,,,insufficient_history
gbpcad,2026-06-17,1.8729,1.3289,1.0,-1.4901,-3.6648,1.4,,,,,insufficient_history
gbpchf,2026-06-17,1.06256,4.4319,1.0,-5.5003,-4.7741,-1.7337,,,,,insufficient_history
gbpjpy,2026-06-17,213.453,2.1479,1.0,-4.6704,-3.113,16.0224,,,,,insufficient_history
gbpnzd,2026-06-17,2.3028,0.3689,1.0,-0.9868,-5.9424,0.1029,,,,,insufficient_history
gbpusd,2026-06-17,1.32942,0.2589,1.0,0.0366,-2.6355,0.6956,,,,,insufficient_history
nzdcad,2026-06-17,0.81259,0.96,1.0,-0.5033,2.2776,1.2971,,,,,insufficient_history
nzdchf,2026-06-17,0.46099,4.063,1.0,-4.5135,1.1683,-1.8366,,,,,insufficient_history
nzdjpy,2026-06-17,92.619,1.779,1.0,-3.6836,2.8294,15.9195,,,,,insufficient_history
nzdusd,2026-06-17,0.57697,-0.11,1.0,1.0234,3.3069,0.5927,,,,,insufficient_history
usdcad,2026-06-17,1.4098,-1.07,1.0,1.5267,1.0293,-0.7044,,,,,insufficient_history
usdchf,2026-06-17,0.79954,-4.173,1.0,5.5369,2.1386,2.4293,,,,,insufficient_history
usdjpy,2026-06-17,160.63,-1.889,1.0,4.707,0.4775,-15.3268,,,,,insufficient_history
usdnok,2026-06-17,9.6121,-0.171,1.0,21.8363,5.2636,-0.0374,,,,,insufficient_history
usdsek,2026-06-17,9.5012,-1.715,1.0,7.9111,0.2728,-0.2135,,,,,insufficient_history
audcad,2026-06-18,0.99074,1.409,0.0,-2.812,-0.0845,-0.0988,,,,,insufficient_history
audchf,2026-06-18,0.56421,4.461,0.0,-6.8222,-2.2714,-3.2325,,,,,insufficient_history
audjpy,2026-06-18,113.124,2.164,0.0,-5.9923,0.4673,14.5236,,,,,insufficient_history
audnzd,2026-06-18,1.21783,0.343,0.0,-2.3087,-0.8424,-1.3959,,,,,insufficient_history
audusd,2026-06-18,0.70161,0.323,0.0,-1.2853,0.9448,-0.8032,,,,,insufficient_history
cadchf,2026-06-18,0.56863,3.052,0.0,-4.0102,-2.1869,-3.1337,,,,,insufficient_history
cadjpy,2026-06-18,114.14,0.755,0.0,-3.1803,0.5518,14.6224,,,,,insufficient_history
chfjpy,2026-06-18,200.506,-2.297,0.0,0.8299,2.7387,17.7561,,,,,insufficient_history
euraud,2026-06-18,1.63264,-1.8599,0.0,4.305,-0.2681,0.839,,,,,insufficient_history
eurcad,2026-06-18,1.61868,-0.4509,0.0,1.493,-0.3526,0.7402,,,,,insufficient_history
eurchf,2026-06-18,0.9217,2.6011,0.0,-2.5172,-2.5395,-2.3935,,,,,insufficient_history
eurgbp,2026-06-18,0.86676,-1.8403,0.0,2.9831,3.3122,-0.6598,,,,,insufficient_history
eurjpy,2026-06-18,184.884,0.3041,0.0,-1.6873,0.1992,15.3626,,,,,insufficient_history
eurnok,2026-06-18,11.1471,-1.3909,0.0,-18.8166,-4.5869,0.0732,,,,,insufficient_history
eurnzd,2026-06-18,1.99026,-1.5169,0.0,1.9963,-1.1105,-0.5569,,,,,insufficient_history
eursek,2026-06-18,10.9811,0.1481,0.0,-4.8914,0.4039,0.2493,,,,,insufficient_history
eurusd,2026-06-18,1.146,-1.5369,0.0,3.0197,0.6767,0.0358,,,,,insufficient_history
gbpaud,2026-06-18,1.88189,-0.0196,0.0,1.3219,-3.5803,1.4988,,,,,insufficient_history
gbpcad,2026-06-18,1.86533,1.3894,0.0,-1.4901,-3.6648,1.4,,,,,insufficient_history
gbpchf,2026-06-18,1.06153,4.4414,0.0,-5.5003,-5.8517,-1.7337,,,,,insufficient_history
gbpjpy,2026-06-18,213.1,2.1444,0.0,-4.6704,-3.113,16.0224,,,,,insufficient_history
gbpnzd,2026-06-18,2.2935,0.3234,0.0,-0.9868,-4.4227,0.1029,,,,,insufficient_history
gbpusd,2026-06-18,1.3206,0.3034,0.0,0.0366,-2.6355,0.6956,,,,,insufficient_history
nzdcad,2026-06-18,0.81296,1.066,0.0,-0.5033,0.7579,1.2971,,,,,insufficient_history
nzdchf,2026-06-18,0.46254,4.118,0.0,-4.5135,-1.429,-1.8366,,,,,insufficient_history
nzdjpy,2026-06-18,92.824,1.821,0.0,-3.6836,1.3097,15.9195,,,,,insufficient_history
nzdusd,2026-06-18,0.57561,-0.02,0.0,1.0234,1.7872,0.5927,,,,,insufficient_history
usdcad,2026-06-18,1.41318,-1.086,0.0,1.5267,1.0293,-0.7044,,,,,insufficient_history
usdchf,2026-06-18,0.80458,-4.138,0.0,5.5369,3.2162,2.4293,,,,,insufficient_history
usdjpy,2026-06-18,161.361,-1.841,0.0,4.707,0.4775,-15.3268,,,,,insufficient_history
usdnok,2026-06-18,9.7255,-0.146,0.0,21.8363,5.2636,-0.0374,,,,,insufficient_history
usdsek,2026-06-18,9.5797,-1.685,0.0,7.9111,0.2728,-0.2135,,,,,insufficient_history
audcad,2026-06-22,0.9912,1.372,0.0,-2.812,-0.0845,-0.0988,,,,,insufficient_history
audchf,2026-06-22,0.5659,4.494,0.0,-6.8222,-2.2714,-3.2325,,,,,insufficient_history
audjpy,2026-06-22,113.091,2.13,0.0,-5.9923,0.4673,14.5236,,,,,insufficient_history
audnzd,2026-06-22,1.22511,0.356,0.0,-2.3087,-0.8424,-1.3959,,,,,insufficient_history
audusd,2026-06-22,0.70028,0.296,0.0,-1.2853,0.9448,-0.8032,,,,,insufficient_history
cadchf,2026-06-22,0.57076,3.122,0.0,-4.0102,-2.1869,-3.1337,,,,,insufficient_history
cadjpy,2026-06-22,114.106,0.758,0.0,-3.1803,0.5518,14.6224,,,,,insufficient_history
chfjpy,2026-06-22,199.819,-2.364,0.0,0.8299,2.7387,17.7561,,,,,insufficient_history
euraud,2026-06-22,1.63102,-1.8546,0.0,4.305,-0.2681,0.839,,,,,insufficient_history
eurcad,2026-06-22,1.61769,-0.4826,0.0,1.493,-0.3526,0.7402,,,,,insufficient_history
eurchf,2026-06-22,0.92326,2.6394,0.0,-2.5172,-2.5395,-2.3935,,,,,insufficient_history
eurgbp,2026-06-22,0.86128,-1.861,0.0,2.9831,3.3122,-0.6598,,,,,insufficient_history
eurjpy,2026-06-22,184.565,0.2754,0.0,-1.6873,0.1992,15.3626,,,,,insufficient_history
eurnok,2026-06-22,11.0725,-1.3736,0.0,-18.8166,-4.5869,0.0732,,,,,insufficient_history
eurnzd,2026-06-22,1.99915,-1.4986,0.0,1.9963,-1.1105,-0.5569,,,,,insufficient_history
eursek,2026-06-22,10.986,0.1864,0.0,-4.8914,0.4039,0.2493,,,,,insufficient_history
eurusd,2026-06-22,1.14299,-1.5586,0.0,3.0197,0.6767,0.0358,,,,,insufficient_history
gbpaud,2026-06-22,1.89163,0.0064,0.0,1.3219,-3.5803,1.4988,,,,,insufficient_history
gbpcad,2026-06-22,1.87561,1.3784,0.0,-1.4901,-3.6648,1.4,,,,,insufficient_history
gbpchf,2026-06-22,1.07119,4.5004,0.0,-5.5003,-5.8517,-1.7337,,,,,insufficient_history
gbpjpy,2026-06-22,214.124,2.1364,0.0,-4.6704,-3.113,16.0224,,,,,insufficient_history
gbpnzd,2026-06-22,2.31759,0.3624,0.0,-0.9868,-4.4227,0.1029,,,,,insufficient_history
gbpusd,2026-06-22,1.32531,0.3024,0.0,0.0366,-2.6355,0.6956,,,,,insufficient_history
nzdcad,2026-06-22,0.80856,1.016,0.0,-0.5033,0.7579,1.2971,,,,,insufficient_history
nzdchf,2026-06-22,0.46139,4.138,0.0,-4.5135,-1.429,-1.8366,,,,,insufficient_history
nzdjpy,2026-06-22,92.275,1.774,0.0,-3.6836,1.3097,15.9195,,,,,insufficient_history
nzdusd,2026-06-22,0.57153,-0.06,0.0,1.0234,1.7872,0.5927,,,,,insufficient_history
usdcad,2026-06-22,1.41554,-1.076,0.0,1.5267,1.0293,-0.7044,,,,,insufficient_history
usdchf,2026-06-22,0.80823,-4.198,0.0,5.5369,3.2162,2.4293,,,,,insufficient_history
usdjpy,2026-06-22,161.572,-1.834,0.0,4.707,0.4775,-15.3268,,,,,insufficient_history
usdnok,2026-06-22,9.6848,-0.185,0.0,21.8363,5.2636,-0.0374,,,,,insufficient_history
usdsek,2026-06-22,9.6019,-1.745,0.0,7.9111,0.2728,-0.2135,,,,,insufficient_history
audcad,2026-06-23,0.98229,1.345,1.0,-2.812,-0.0845,-0.0988,,,,,insufficient_history
audchf,2026-06-23,0.56,4.484,1.0,-10.6389,-2.2714,-3.2325,,,,,insufficient_history
audjpy,2026-06-23,111.696,2.103,1.0,-5.9923,0.4673,14.5236,,,,,insufficient_history
audnzd,2026-06-23,1.21959,0.364,1.0,-2.3087,-0.8424,-1.3959,,,,,insufficient_history
audusd,2026-06-23,0.69185,0.284,1.0,-1.2853,0.9448,-0.8032,,,,,insufficient_history
cadchf,2026-06-23,0.5696,3.139,1.0,-7.8269,-2.1869,-3.1337,,,,,insufficient_history
cadjpy,2026-06-23,113.64,0.758,1.0,-3.1803,0.5518,14.6224,,,,,insufficient_history
chfjpy,2026-06-23,199.514,-2.381,1.0,4.6466,2.7387,17.7561,,,,,insufficient_history
euraud,2026-06-23,1.64516,-1.8672,1.0,4.305,-0.2681,0.839,,,,,insufficient_history
eurcad,2026-06-23,1.61696,-0.5222,1.0,1.493,-0.3526,0.7402,,,,,insufficient_history
eurchf,2026-06-23,0.92131,2.6168,1.0,-6.3339,-2.5395,-2.3935,,,,,insufficient_history
eurgbp,2026-06-23,0.86187,-1.8388,1.0,2.9831,3.3122,-0.6598,,,,,insufficient_history
eurjpy,2026-06-23,183.809,0.2358,1.0,-1.6873,0.1992,15.3626,,,,,insufficient_history
eurnok,2026-06-23,11.1403,-1.3672,1.0,-18.8166,-4.5869,0.0732,,,,,insufficient_history
eurnzd,2026-06-23,2.00705,-1.5032,1.0,1.9963,-1.1105,-0.5569,,,,,insufficient_history
eursek,2026-06-23,11.079,0.2118,1.0,-4.8914,0.4039,0.2493,,,,,insufficient_history
eurusd,2026-06-23,1.13843,-1.5832,1.0,3.0197,0.6767,0.0358,,,,,insufficient_history
gbpaud,2026-06-23,1.90864,-0.0284,1.0,1.3219,-3.5803,1.4988,,,,,insufficient_history
gbpcad,2026-06-23,1.87554,1.3166,1.0,-1.4901,-3.6648,1.4,,,,,insufficient_history
gbpchf,2026-06-23,1.06799,4.4556,1.0,-9.317,-5.8517,-1.7337,,,,,insufficient_history
gbpjpy,2026-06-23,213.228,2.0746,1.0,-4.6704,-3.113,16.0224,,,,,insufficient_history
gbpnzd,2026-06-23,2.32834,0.3356,1.0,-0.9868,-4.4227,0.1029,,,,,insufficient_history
gbpusd,2026-06-23,1.32046,0.2556,1.0,0.0366,-2.6355,0.6956,,,,,insufficient_history
nzdcad,2026-06-23,0.80519,0.981,1.0,-0.5033,0.7579,1.2971,,,,,insufficient_history
nzdchf,2026-06-23,0.45868,4.12,1.0,-8.3302,-1.429,-1.8366,,,,,insufficient_history
nzdjpy,2026-06-23,91.516,1.739,1.0,-3.6836,1.3097,15.9195,,,,,insufficient_history
nzdusd,2026-06-23,0.56699,-0.08,1.0,1.0234,1.7872,0.5927,,,,,insufficient_history
usdcad,2026-06-23,1.42082,-1.061,1.0,1.5267,1.0293,-0.7044,,,,,insufficient_history
usdchf,2026-06-23,0.80934,-4.2,1.0,9.3536,3.2162,2.4293,,,,,insufficient_history
usdjpy,2026-06-23,161.55,-1.819,1.0,4.707,0.4775,-15.3268,,,,,insufficient_history
usdnok,2026-06-23,9.7861,-0.216,1.0,21.8363,5.2636,-0.0374,,,,,insufficient_history
usdsek,2026-06-23,9.7314,-1.795,1.0,7.9111,0.2728,-0.2135,,,,,insufficient_history
audcad,2026-06-24,0.98155,1.415,1.0,-2.812,-0.0845,-0.0988,,,,,insufficient_history
audchf,2026-06-24,0.56009,4.507,1.0,-10.6389,-2.2714,-3.2325,,,,,insufficient_history
audjpy,2026-06-24,111.588,2.107,1.0,-5.9923,0.4673,14.5236,,,,,insufficient_history
audnzd,2026-06-24,1.22056,0.395,1.0,-2.3087,-0.8424,-1.3959,,,,,insufficient_history
audusd,2026-06-24,0.69027,0.365,1.0,-0.8322,0.9448,-0.8032,,,,,insufficient_history
cadchf,2026-06-24,0.5702,3.092,1.0,-7.8269,-2.1869,-3.1337,,,,,insufficient_history
cadjpy,2026-06-24,113.622,0.692,1.0,-3.1803,0.5518,14.6224,,,,,insufficient_history
chfjpy,2026-06-24,199.126,-2.4,1.0,4.6466,2.7387,17.7561,,,,,insufficient_history
euraud,2026-06-24,1.64492,-1.9045,1.0,4.305,-0.2681,0.839,,,,,insufficient_history
eurcad,2026-06-24,1.61556,-0.4895,1.0,1.493,-0.3526,0.7402,,,,,insufficient_history
eurchf,2026-06-24,0.92226,2.6025,1.0,-6.3339,-2.5395,-2.3935,,,,,insufficient_history
eurgbp,2026-06-24,0.86221,-1.8215,1.0,2.9831,3.3122,-0.6598,,,,,insufficient_history
eurjpy,2026-06-24,183.692,0.2025,1.0,-1.6873,0.1992,15.3626,,,,,insufficient_history
eurnok,2026-06-24,11.1874,-1.4135,1.0,-18.8166,-4.5869,0.0732,,,,,insufficient_history
eurnzd,2026-06-24,2.00978,-1.5095,1.0,1.9963,-1.1105,-0.5569,,,,,insufficient_history
eursek,2026-06-24,11.0665,0.1925,1.0,-4.8914,0.4039,0.2493,,,,,insufficient_history
eurusd,2026-06-24,1.13611,-1.5395,1.0,3.4728,0.6767,0.0358,,,,,insufficient_history
gbpaud,2026-06-24,1.90728,-0.083,1.0,1.3219,-3.5803,1.4988,,,,,insufficient_history
gbpcad,2026-06-24,1.87331,1.332,1.0,-1.4901,-3.6648,1.4,,,,,insufficient_history
gbpchf,2026-06-24,1.06865,4.424,1.0,-9.317,-5.8517,-1.7337,,,,,insufficient_history
gbpjpy,2026-06-24,212.95,2.024,1.0,-4.6704,-3.113,16.0224,,,,,insufficient_history
gbpnzd,2026-06-24,2.32934,0.312,1.0,-0.9868,-4.4227,0.1029,,,,,insufficient_history
gbpusd,2026-06-24,1.31688,0.282,1.0,0.4897,-2.6355,0.6956,,,,,insufficient_history
nzdcad,2026-06-24,0.80357,1.02,1.0,-0.5033,0.7579,1.2971,,,,,insufficient_history
nzdchf,2026-06-24,0.45828,4.112,1.0,-8.3302,-1.429,-1.8366,,,,,insufficient_history
nzdjpy,2026-06-24,91.33,1.712,1.0,-3.6836,1.3097,15.9195,,,,,insufficient_history
nzdusd,2026-06-24,0.56516,-0.03,1.0,1.4765,1.7872,0.5927,,,,,insufficient_history
usdcad,2026-06-24,1.42318,-1.05,1.0,1.9798,1.0293,-0.7044,,,,,insufficient_history
usdchf,2026-06-24,0.81197,-4.142,1.0,9.8067,3.2162,2.4293,,,,,insufficient_history
usdjpy,2026-06-24,161.755,-1.742,1.0,5.1601,0.4775,-15.3268,,,,,insufficient_history
usdnok,2026-06-24,9.8413,-0.126,1.0,22.2894,5.2636,-0.0374,,,,,insufficient_history
usdsek,2026-06-24,9.7351,-1.732,1.0,8.3642,0.2728,-0.2135,,,,,insufficient_history
audcad,2026-06-25,0.98051,1.349,1.0,-2.812,-0.0845,-0.0988,,,,,insufficient_history
audchf,2026-06-25,0.55923,4.478,1.0,-10.6389,-2.2714,-3.2325,,,,,insufficient_history
audjpy,2026-06-25,111.763,2.108,1.0,-5.9923,0.4673,14.5236,,,,,insufficient_history
audnzd,2026-06-25,1.22278,0.391,1.0,-2.3087,-0.8424,-1.3959,,,,,insufficient_history
audusd,2026-06-25,0.69128,0.331,1.0,-0.8322,0.9448,-0.8032,,,,,insufficient_history
cadchf,2026-06-25,0.57002,3.129,1.0,-7.8269,-2.1869,-3.1337,,,,,insufficient_history
cadjpy,2026-06-25,113.913,0.759,1.0,-3.1803,0.5518,14.6224,,,,,insufficient_history
chfjpy,2026-06-25,199.654,-2.37,1.0,4.6466,2.7387,17.7561,,,,,insufficient_history
euraud,2026-06-25,1.64491,-1.872,1.0,4.305,-0.2681,0.839,,,,,insufficient_history
eurcad,2026-06-25,1.6142,-0.523,1.0,1.493,-0.3526,0.7402,,,,,insufficient_history
eurchf,2026-06-25,0.92043,2.606,1.0,-6.3339,-2.5395,-2.3935,,,,,insufficient_history
eurgbp,2026-06-25,0.86168,-1.8511,1.0,2.9831,3.3122,-0.6598,,,,,insufficient_history
eurjpy,2026-06-25,183.934,0.236,1.0,-1.6873,0.1992,15.3626,,,,,insufficient_history
eurnok,2026-06-25,11.211,-1.363,1.0,-18.8166,-4.5869,0.0732,,,,,insufficient_history
eurnzd,2026-06-25,2.0124,-1.481,1.0,1.9963,-1.1105,-0.5569,,,,,insufficient_history
eursek,2026-06-25,11.0594,0.209,1.0,-4.8914,0.4039,0.2493,,,,,insufficient_history
eurusd,2026-06-25,1.13727,-1.541,1.0,3.4728,0.6767,0.0358,,,,,insufficient_history
gbpaud,2026-06-25,1.90848,-0.0209,1.0,1.3219,-3.5803,1.4988,,,,,insufficient_history
gbpcad,2026-06-25,1.87258,1.3281,1.0,-1.4901,-3.6648,1.4,,,,,insufficient_history
gbpchf,2026-06-25,1.0677,4.4571,1.0,-9.317,-5.8517,-1.7337,,,,,insufficient_history
gbpjpy,2026-06-25,213.372,2.0871,1.0,-4.6704,-3.113,16.0224,,,,,insufficient_history
gbpnzd,2026-06-25,2.33479,0.3701,1.0,-0.9868,-4.4227,0.1029,,,,,insufficient_history
gbpusd,2026-06-25,1.31916,0.3101,1.0,0.4897,-2.6355,0.6956,,,,,insufficient_history
nzdcad,2026-06-25,0.8016,0.958,1.0,-0.5033,0.7579,1.2971,,,,,insufficient_history
nzdchf,2026-06-25,0.4569,4.087,1.0,-8.3302,-1.429,-1.8366,,,,,insufficient_history
nzdjpy,2026-06-25,91.334,1.717,1.0,-3.6836,1.3097,15.9195,,,,,insufficient_history
nzdusd,2026-06-25,0.56491,-0.06,1.0,1.4765,1.7872,0.5927,,,,,insufficient_history
usdcad,2026-06-25,1.41996,-1.018,1.0,1.9798,1.0293,-0.7044,,,,,insufficient_history
usdchf,2026-06-25,0.80952,-4.147,1.0,9.8067,3.2162,2.4293,,,,,insufficient_history
usdjpy,2026-06-25,161.774,-1.777,1.0,5.1601,0.4775,-15.3268,,,,,insufficient_history
usdnok,2026-06-25,9.8516,-0.178,1.0,22.2894,5.2636,-0.0374,,,,,insufficient_history
usdsek,2026-06-25,9.7264,-1.75,1.0,8.3642,0.2728,-0.2135,,,,,insufficient_history
audcad,2026-06-26,0.97751,1.341,1.0,-2.812,-0.0845,-0.0988,,,,,insufficient_history
audchf,2026-06-26,0.55825,4.484,1.0,-10.6389,-2.2714,-3.2325,,,,,insufficient_history
audjpy,2026-06-26,111.493,2.124,1.0,-5.9923,0.4673,14.5236,,,,,insufficient_history
audnzd,2026-06-26,1.22139,0.367,1.0,-2.3087,-0.8424,-1.3959,,,,,insufficient_history
audusd,2026-06-26,0.68961,0.347,1.0,-0.8322,1.5712,-0.8032,,,,,insufficient_history
cadchf,2026-06-26,0.57049,3.143,1.0,-7.8269,-2.1869,-3.1337,,,,,insufficient_history
cadjpy,2026-06-26,113.916,0.783,1.0,-3.1803,0.5518,14.6224,,,,,insufficient_history
chfjpy,2026-06-26,199.685,-2.36,1.0,4.6466,2.7387,17.7561,,,,,insufficient_history
euraud,2026-06-26,1.65076,-1.879,1.0,4.305,-0.2681,0.839,,,,,insufficient_history
