pair,date,spot,rate_diff,stress,ca_diff,tb_diff,prod_diff,fair_value,z_score,lambda,fit,model_status
gbpchf,2026-06-04,1.05938,4.497,0.0,-5.5003,-4.924,8.5622,,,,,insufficient_history
gbpjpy,2026-06-04,214.783,2.22,0.0,-5.1292,-3.6658,-14.7724,,,,,insufficient_history
gbpnzd,2026-06-04,2.28709,0.344,0.0,5.7569,-6.0923,0.1029,,,,,insufficient_history
gbpusd,2026-06-04,1.34244,0.424,0.0,0.0366,-2.4528,0.6956,,,,,insufficient_history
nzdcad,2026-06-04,0.81541,1.113,0.0,-7.247,2.3908,1.2971,,,,,insufficient_history
nzdchf,2026-06-04,0.46284,4.153,0.0,-11.2572,1.1683,8.4593,,,,,insufficient_history
nzdjpy,2026-06-04,93.852,1.876,0.0,-10.8861,2.4265,-14.8753,,,,,insufficient_history
nzdusd,2026-06-04,0.58685,0.08,0.0,-5.7203,3.6395,0.5927,,,,,insufficient_history
usdcad,2026-06-04,1.39056,-1.033,0.0,1.5267,1.2487,-0.7044,,,,,insufficient_history
usdchf,2026-06-04,0.78923,-4.073,0.0,5.5369,2.4712,-7.8666,,,,,insufficient_history
usdjpy,2026-06-04,160.013,-1.796,0.0,5.1658,1.213,15.468,,,,,insufficient_history
usdnok,2026-06-04,9.3397,-0.072,0.0,21.8363,7.1702,-0.6155,,,,,insufficient_history
usdsek,2026-06-04,9.3676,-1.602,0.0,6.9828,0.6054,0.9397,,,,,insufficient_history
audcad,2026-06-05,0.98136,1.441,2.0,-2.812,0.0287,-0.0988,,,,,insufficient_history
audchf,2026-06-05,0.56047,4.49,2.0,-6.8222,-1.1938,-3.2325,,,,,insufficient_history
audjpy,2026-06-05,112.901,2.246,2.0,-6.4511,0.0644,-16.2712,,,,,insufficient_history
audnzd,2026-06-05,1.21473,0.384,2.0,4.435,-2.3621,-1.3959,,,,,insufficient_history
audusd,2026-06-05,0.70462,0.364,2.0,-1.2853,1.2774,-0.8032,,,,,insufficient_history
cadchf,2026-06-05,0.57074,3.049,2.0,-4.0102,-1.2225,-3.1337,,,,,insufficient_history
cadjpy,2026-06-05,114.974,0.805,2.0,-3.6391,0.0357,-16.1724,,,,,insufficient_history
chfjpy,2026-06-05,201.376,-2.244,2.0,0.3711,1.2582,-13.0387,,,,,insufficient_history
euraud,2026-06-05,1.63411,-1.8764,2.0,4.305,-0.0478,0.839,,,,,insufficient_history
eurcad,2026-06-05,1.60504,-0.4354,2.0,1.493,-0.0191,0.7402,,,,,insufficient_history
eurchf,2026-06-05,0.9173,2.6136,2.0,-2.5172,-1.2416,-2.3935,,,,,insufficient_history
eurgbp,2026-06-05,0.86349,-1.8434,2.0,2.9831,3.6824,-0.6598,,,,,insufficient_history
eurjpy,2026-06-05,184.66,0.3696,2.0,-2.1461,0.0166,-15.4322,,,,,insufficient_history
eurnok,2026-06-05,10.9074,-1.3824,2.0,-18.8166,-5.9406,0.0732,,,,,insufficient_history
eurnzd,2026-06-05,1.98709,-1.4924,2.0,8.74,-2.4099,-0.5569,,,,,insufficient_history
eursek,2026-06-05,10.9103,0.1626,2.0,-4.8914,0.6242,0.2493,,,,,insufficient_history
eurusd,2026-06-05,1.15274,-1.5124,2.0,3.0197,1.2296,0.0358,,,,,insufficient_history
gbpaud,2026-06-05,1.89205,-0.033,2.0,1.3219,-3.7302,1.4988,,,,,insufficient_history
gbpcad,2026-06-05,1.85846,1.408,2.0,-1.4901,-3.7015,1.4,,,,,insufficient_history
gbpchf,2026-06-05,1.06122,4.457,2.0,-5.5003,-4.924,-1.7337,,,,,insufficient_history
gbpjpy,2026-06-05,213.793,2.213,2.0,-5.1292,-3.6658,-14.7724,,,,,insufficient_history
gbpnzd,2026-06-05,2.30071,0.351,2.0,5.7569,-6.0923,0.1029,,,,,insufficient_history
gbpusd,2026-06-05,1.33372,0.331,2.0,0.0366,-2.4528,0.6956,,,,,insufficient_history
nzdcad,2026-06-05,0.80704,1.057,2.0,-7.247,2.3908,1.2971,,,,,insufficient_history
nzdchf,2026-06-05,0.46092,4.106,2.0,-11.2572,1.1683,-1.8366,,,,,insufficient_history
nzdjpy,2026-06-05,92.888,1.862,2.0,-10.8861,2.4265,-14.8753,,,,,insufficient_history
nzdusd,2026-06-05,0.57974,-0.02,2.0,-5.7203,3.6395,0.5927,,,,,insufficient_history
usdcad,2026-06-05,1.3937,-1.077,2.0,1.5267,1.2487,-0.7044,,,,,insufficient_history
usdchf,2026-06-05,0.7962,-4.126,2.0,5.5369,2.4712,2.4293,,,,,insufficient_history
usdjpy,2026-06-05,160.293,-1.882,2.0,5.1658,1.213,15.468,,,,,insufficient_history
usdnok,2026-06-05,9.4485,-0.13,2.0,21.8363,7.1702,-0.0374,,,,,insufficient_history
usdsek,2026-06-05,9.452,-1.675,2.0,7.9111,0.6054,-0.2135,,,,,insufficient_history
audcad,2026-06-08,0.98258,1.442,1.0,-2.812,0.0287,-0.0988,,,,,insufficient_history
audchf,2026-06-08,0.56177,4.54,1.0,-6.8222,-1.1938,-3.2325,,,,,insufficient_history
audjpy,2026-06-08,112.79,2.249,1.0,-5.9923,0.0644,-16.2712,,,,,insufficient_history
audnzd,2026-06-08,1.21182,0.372,1.0,4.435,-2.3621,-1.3959,,,,,insufficient_history
audusd,2026-06-08,0.70477,0.412,1.0,-1.2853,1.2774,-0.8032,,,,,insufficient_history
cadchf,2026-06-08,0.57149,3.098,1.0,-4.0102,-1.2225,-3.1337,,,,,insufficient_history
cadjpy,2026-06-08,114.761,0.807,1.0,-3.1803,0.0357,-16.1724,,,,,insufficient_history
chfjpy,2026-06-08,200.715,-2.291,1.0,0.8299,1.2582,-13.0387,,,,,insufficient_history
euraud,2026-06-08,1.637,-1.9159,1.0,4.305,-0.0478,0.839,,,,,insufficient_history
eurcad,2026-06-08,1.60884,-0.4739,1.0,1.493,-0.0191,0.7402,,,,,insufficient_history
eurchf,2026-06-08,0.91951,2.6241,1.0,-2.5172,-1.2416,-2.3935,,,,,insufficient_history
eurgbp,2026-06-08,0.86439,-1.8909,1.0,2.9831,3.6824,-0.6598,,,,,insufficient_history
eurjpy,2026-06-08,184.686,0.3331,1.0,-1.6873,0.0166,-15.4322,,,,,insufficient_history
eurnok,2026-06-08,10.9219,-1.3689,1.0,-18.8166,-5.9406,0.0732,,,,,insufficient_history
eurnzd,2026-06-08,1.98405,-1.5439,1.0,8.74,-2.4099,-0.5569,,,,,insufficient_history
eursek,2026-06-08,10.8726,0.1711,1.0,-4.8914,0.6242,0.2493,,,,,insufficient_history
eurusd,2026-06-08,1.15354,-1.5039,1.0,3.0197,1.2296,0.0358,,,,,insufficient_history
gbpaud,2026-06-08,1.89301,-0.025,1.0,1.3219,-3.7302,1.4988,,,,,insufficient_history
gbpcad,2026-06-08,1.86074,1.417,1.0,-1.4901,-3.7015,1.4,,,,,insufficient_history
gbpchf,2026-06-08,1.06379,4.515,1.0,-5.5003,-4.924,-1.7337,,,,,insufficient_history
gbpjpy,2026-06-08,213.59,2.224,1.0,-4.6704,-3.6658,-14.7724,,,,,insufficient_history
gbpnzd,2026-06-08,2.29472,0.347,1.0,5.7569,-6.0923,0.1029,,,,,insufficient_history
gbpusd,2026-06-08,1.33396,0.387,1.0,0.0366,-2.4528,0.6956,,,,,insufficient_history
nzdcad,2026-06-08,0.80999,1.07,1.0,-7.247,2.3908,1.2971,,,,,insufficient_history
nzdchf,2026-06-08,0.46287,4.168,1.0,-11.2572,1.1683,-1.8366,,,,,insufficient_history
nzdjpy,2026-06-08,92.992,1.877,1.0,-10.4273,2.4265,-14.8753,,,,,insufficient_history
nzdusd,2026-06-08,0.58109,0.04,1.0,-5.7203,3.6395,0.5927,,,,,insufficient_history
usdcad,2026-06-08,1.39497,-1.03,1.0,1.5267,1.2487,-0.7044,,,,,insufficient_history
usdchf,2026-06-08,0.79748,-4.128,1.0,5.5369,2.4712,2.4293,,,,,insufficient_history
